Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
MOUNTAINSIDE HOSPITAL,312331,0.01,47
FMC IRVINGTON,312501,0.01,46
FMC JERSEY CITY,312502,0,60
FMC NORTH NEWARK,312503,0.005,49
FMC TRENTON,312504,0.01,43
FMC NEWARK UNIV DC (MIELE),312505,0,68
FMC HILLSIDE DIALYSIS CTR,312506,0.005,55
DVA LUMBERTON DIALYSIS CTR,312508,0,77
FMC JOHN J DE PALMA RENAL CENTER,312509,0,63
DVA HOLMDEL DIALYSIS CTR,312510,0,65
DVA CHERRY HILL DIALYSIS CTR,312513,0,77
FMC SALEM DIALYSIS,312514,0,86
FMC SO PLAINFIELD,312515,0,83
FMC PRINCETON,312516,0,76
DVA FREEHOLD AKC,312517,0,62
FMC COLONIA DIALYSIS CTR,312518,0,69
DVA NEPTUNE AKC,312520,0,62
DVA DELRAN,312521,0,70
DVA EAST ORANGE AKC,312522,0,65
DAVITA RENAL CENTER OF WESTWOOD,312523,0,69
FMC BERGEN RENAL HOME,312524,0,83
DCI NORTH BRUNSWICK DIALYSIS CTR,312525,0,66
FMC EWING,312527,0,75
DVA SUMMIT DIALYSIS CTR,312528,0,78
FMC HOBOKEN DIALYSIS CTR,312529,0,70
DAVITA BRIDGEWATER DIALYSIS CTR,312530,0,59
FMC KENILWORTH,312532,0,74
FMC ORANGE DC,312533,0.005,54
FMC WOODBURY DIALYSIS CTR,312534,0,74
FMC ATLANTIC CITY,312535,0.005,58
FMC ENGLEWOOD DIALYSIS CENTER,312536,0,70
DAVITA ATLANTIC AKC,312537,0.005,50
FMC SO OCEAN CO,312538,0,66
DVA PERTH AMBOY DIALYSIS CTR,312540,0.005,58
DVA OLD BRIDGE DIALYSIS CTR,312541,0,63
FMC UNION HILL,312542,0.005,54
FMC DIAL ASSOC NO JERSEY DC,312543,0,77
DCI FREEHOLD,312544,0,72
DAVITA JERSEY CITY AKC NO BERGEN,312545,0.005,49
FMC BLOOMFIELD DC,312546,0.01,47
FMC PHILLIPSBURG DIALYSIS CTR,312547,0,66
DVA BURLINGTON NO DIALYSIS CTR,312548,0,82
FMC KINGS CT FLEMINGTON DIALYSIS CTR,312550,0,61
US RENAL CARE VINELAND DIALYSIS,312551,0.01,47
FMC HAMILTON SQUARE,312552,0.005,58
PHYSICIANS DIALYSIS PASSAIC,312553,0,73
FMC KENVIL,312554,0,79
DCI SOMERSET,312555,0,60
FMC LAKEWOOD DIALYSIS,312557,0.005,56
DVA PLAINFIELD DIALYSIS CENTER,312558,0,66
DVA EDISON,312559,0,75
FMC SILVER DIALYSIS,312560,0.01,47
DAVITA RENAL CENTER BAYONNE,312561,0,74
SHINING STAR DAVITA BRICKTOWN DC,312562,0,73
PHYSICIANS DIALYSIS BRICK,312563,0.005,57
FMC HARRISON DC,312564,0,62
DAVITA RENAL CENTER OF SEWELL,312565,0,78
DAVITA VINELAND DIALYSIS,312566,0.005,52
SHINING STAR DAVITA NEPTUNE DC,312567,0.005,52
FMC EAST ORANGE DC,312568,0.005,55
SHINING STAR DAVITA MIDDLETOWN DC,312569,0,67
DAVITA RENAL CENTER OF NEWARK,312570,0.01,46
DAVITA RENAL CTR TRENTON,312571,0,76
DAVITA RENAL CTR NEWTON,312572,0,66
FMC BERGEN RCC,312573,0,71
SHINING STAR DAVITA SOMERSET DIALYSIS,312574,0,62
FKC LIBERTY BERLIN DC,312575,0,74
FKC ACC LIVINGSTON ST BARNABAS SO ORANGE AVE,312576,0,62
FMC ELIZABETH DC,312578,0,66
FMC CAPE MAY DC,312579,0,74
HAMILTON PK DIALYSIS CENTER,312580,0.01,45
DAVITA PARKSIDE DC,312581,0,72
FMC WHITING DIALYSIS CTR,312582,0,60
PHYSICIANS DIALYSIS SOMERVILLE,312583,0,61
DVA WILLINGBORO,312584,0,72
FMC WINSLOW,312585,0,75
FMC MAPLEWOOD DIALYSIS CENTER,312586,0.005,49
DAVITA HILLSIDE DIALYSIS CTR,312587,0,62
FMC EGG HARBOR DC,312588,0,70
PHYSICIANS DIALYSIS HACKETTSTOWN,312589,0,79
DAVITA MARLTON DIALYSIS CENTER,312590,0,61
WELLBOUND OF MERCER,312591,0,71
FKC LIBERTY RUNNEMEDE,312592,0,67
DAVITA PENNSAUKEN DIALYSIS CENTER,312593,0,64
DAVITA LOURDES DIALYSIS AT INNOVA INC,312594,0,61
FMC MADISON DIALYSIS AT MATAWAN,312595,0,74
FMC FAIRVIEW,312596,0.005,50
ST. JOSEPH'S WAYNE DIALYSIS,312597,0,69
FMC IRONBOUND,312598,0.01,48
DAVITA MILLVILLE DIALYSIS,312599,0.01,44
DCI MONROE,312600,0,72
FKC LIBERTY LINWOOD DIALYSIS,312602,0.005,57
FKC LIBERTY HAMMONTON,312603,0.005,58
PHYSICIANS DIALYSIS LAWRENCEVILLE,312604,0,66
WOODLAND PARK DIALYSIS CENTER,312606,0,76
DAVITA DURHAM CORNERS,312607,0,69
FMC EAST MORRIS,312608,0,78
FMC EDISON,312609,0,74
DAVITA PRINCETON JUNCTION DIALYSIS,312610,0,71
FMC POMONA,312611,0,74
FMC LINDEN DIALYSIS,312612,0,73
ST. JOSEPH'S SJRMC DIALYSIS,312613,0,65
ST. JOSEPH'S PATERSON DIALYSIS,312614,0,64
DAVITA HACKENSACK,312615,0,70
DAVITA FAIRLAWN DIALYSIS,312616,0,89
DAVITA LOURDES MT LAUREL DIALYSIS,312617,0.005,53
"HOLY NAME RENAL CARE CENTER, LLC",312618,0,68
FRESENIUS MEDICAL CARE NORTH MONTCLAIR,312619,0,67
FRESENIUS MEDICAL CARE PARAMUS,312620,0,77
NEW BRUNSWICK DIALYSIS,312621,0,62
DAVITA LOURDES CAMDEN DIALYSIS,312622,0,68
DAVITA RENAL CTR SUCCASUNNA,312623,0,78
DAVITA RENAL CTR MORRISTOWN,312624,0,72
FRESENIUS MEDICAL CARE NORTH CAPE MAY,312625,0,83
FRESENIUS MEDICAL CARE HACKENSACK,312626,0,79
"ARA GREAT FALLS DIALYSIS, LLC",312627,0,79
FRESENIUS KIDNEY CARE SHORE,312628,0.005,52
DAVITA WOODBRIDGE DIALYSIS CENTER,312629,0,71
ARA DIALYSIS CENTER AT WEST ORANGE,312630,0,74
DAVITA RENAL CENTER OF ENGLEWOOD,312631,0,0
TETERBORO DIALYSIS,312632,0,62
DAVITA NORTH HALEDON DIALYSIS,312633,0,72
FRESENIUS MEDICAL CARE TOMS RIVER,312634,0,59
FMC NORTH JERSEY CITY,312635,0,77
"TOTAL RENAL CARE, INC WEST ORANGE DIALYSIS",312636,0.005,57
DAVITA RADBURN DIALYSIS,312637,0,87
DAVITA EAST BRUNSWICK,312638,0,62
FMC BURLINGTON DIALYSIS,312639,0,68
FRESENIUS MEDICAL CARE SWEDESBORO,312640,0,63
FRESENIUS MEDICAL CARE DEPTFORD LLC,312641,0,62
"FRESENIUS MEDICAL CARE LIVINGSTON, LLC",312642,0.005,52
DAVITA EAST PATERSON,312643,0,62
DAVITA MAIN STREET DIALYSIS,312644,0,64
DAVITA MILLBURN DIALYSIS,312645,0,74
WALL TOWNSHIP HOME TRAINING,312646,0.01,41
ARA GARDEN STATE KIDNEY CENTER,312647,0,75
DAVITA DIALYSIS AT DEBORAH,312648,0.005,56
MATAWAN DIALYSIS,312649,0.01,45
FMC HUDSON HOME THERAPIES,312650,0,0
DAVITA ATLANTIC COUNTY DIALYSIS,312651,0,65
DAVITA DIALYSIS AT PALISADES MEDICAL CENTER,312652,0,62
PERSHING LLC,312653,0,84
DAVITA METUCHEN DIALYSIS,312654,0,65
MONROE TOWNSHIP DIALYSIS,312655,0,73
FMC DOVER,312656,0,78
DAVITA RENAL CENTER HAMILTON,312657,0.015,29
FMC NEPTUNE,312658,0,68
MERIDIAN-FRESENIUS DIALYSIS AT BRICK,312659,0.005,52
MERIDIAN FRESENIUS DIALYSIS RED BANK,312660,0,81
KAMAKEE DIALYSIS (DAVITA OCEAN COUNTY DC),312661,0,67
NXSTAGE KIDNEY CARE WEST ORANGE,312662,0,0
ARA CLIFTON DIALYSIS CENTER,312663,0,80
FMC VINELAND,312664,0,61
USRC MARLTON,312665,0,77
FRESENIUS MEDICAL CARE PISCATAWAY,312666,0,74
CRRT AT MERWICK,312667,0.01,42
DIALYZE DIRECT,312668,0,0
DAVITA RAHWAY,312669,0,78
DAVITA LYNDHURST DIALYSIS,312670,0,67
DAVITA JERSEY CITY SUMMIT DIALYSIS,312671,0,82
DAVITA HILLSBOROUGH DIALYSIS,312672,0,90
DAVITA BRIDGETON DIALYSIS,312673,0,59
USRC VOORHEES LLC,312674,0,75
DAVITA BROOKLAWN DIALYSIS,312675,0,66
ALARIS HEALTH AT ESSEX,312676,0.005,52
US RENAL CARE PENNS GROVE,312677,0,73
BELLEVILLE KIDNEY CLINIC,312678,0,0
DAVITA JACKSON TOWNSHIP DIALYSIS,312679,0,59
DAVITA HAMILTON STREET DIALYSIS,312680,0.02,12
DAVITA RENAL CTR MONROE,312681,0,0
FKC MARLTON,312682,0,94
DAVITA IRVINGTON DIALYSIS,312683,0.005,57
DAVITA FRANKLIN PARK DIALYSIS,312684,0,0
DAVITA MERCHANTVILLE DIALYSIS,312685,0,0
FKC BELLEVILLE,312686,0,0
FKC BAYONNE,312687,0.015,34
FKC BOARDWALK,312688,0,0
FKC SECAUCUS,312689,0,0
KENNEDY DIALYSIS CENTER VOORHEES,313501,0.005,50
TRINITAS SAT LINDEN,313503,0,80
KENNEDY DIALYSIS CENTER WASHINGTON TWP,313517,0,62
TRINITAS LIVINGSTON ST,313519,0.005,52
322310 UNM PEDIATRIC DIALYSIS,322310,0.02,15
322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC),322500,0.01,43
322501 SANTA FE DIALYSIS (FMC),322501,0,62
322503 FOUR CORNERS DIALYSIS FARMINGTON (DVA),322503,0.005,49
322504 ALBUQUERQUE KIDNEY CENTER (FMC),322504,0,68
322505 LAS CRUCES DIALYSIS (FMC),322505,0.01,48
322506 ALBUQUERQUE DIALYSIS (DCI),322506,0,61
322507 SILVER CITY DIALYSIS (DCI),322507,0,62
322508 ALAMOGORDO DIALYSIS (FMC),322508,0,76
322509 RIO RANCHO DIALYSIS (FMC),322509,0,71
322510 GRANTS DIALYSIS (DCI),322510,0,81
322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC),322511,0,60
322513 ESPANOLA DIALYSIS (FMC),322513,0,75
322514 TAOS DIALYSIS (DCI),322514,0,64
322515 SHIPROCK DIALYSIS (DVA),322515,0,63
322516 DEMING DIALYSIS (FMC),322516,0,87
322517 PLAINS REGIONAL DIALYSIS CENTER (FMC),322517,0,66
322518 LAS VEGAS NM DIALYSIS (FMC),322518,0,82
322519 SOUTHEASTERN NM KIDNEY CENTER (FMC),322519,0,75
322520 RIO RANCHO DIALYSIS (DCI),322520,0,93
322521 HOBBS DIALYSIS (FMC),322521,0,67
322522 CARLSBAD DIALYSIS (DCI),322522,0,82
322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC),322523,0,79
322524 ACL DIALYSIS (DCI),322524,0,78
322526 RATON DIALYSIS (DCI),322526,0,66
322527 LAS CRUCES RENAL CENTER (DVA),322527,0.005,51
322528 LAS CRUCES SOUTH DIALYSIS (FMC),322528,0.005,53
322529 CARLSBAD DIALYSIS (FMC),322529,0,90
322530 ALBUQUERQUE EAST (DCI),322530,0,75
322531 GIBSON DIALYSIS CENTER (FMC),322531,0.005,51
322533 NORTH RIO RANCHO DIALYSIS (FMC),322533,0,75
322534 RED ROCKS DIALYSIS- GALLUP,322534,0,62
322535 RED ROCKS DIALYSIS - ZUNI,322535,0,75
322536 RED ROCKS DIALYSIS - CROWNPOINT,322536,0,73
322537 ARTESIA DIALYSIS (DVA),322537,0,72
322538 SANTA FE HOME (FMC),322538,0,62
322539 SANTO DOMINGO PUEBLO (DCI),322539,0,82
"322540 RED ROCKS HOME DIALYSIS, LLC",322540,0,74
322541 ALBUQUERQUE SOUTH (DCI),322541,0,66
322542 HOME DIALYSIS OF NEW MEXICO,322542,0.005,54
322543 CUBA DIALYSIS (DCI),322543,0,69
322544 MESILLA VALLEY DIALYSIS (DVA),322544,0.015,38
322545 JICARILLA APACHE NATION DIALYSIS TREATMENT CENTER,322545,0,67
322546 - LIBERTY ALBUQUERQUE DIALYSIS (FMC),322546,0,70
"322547-THE KIDNEY CARE CENTER, LLC",322547,0.01,43
322548 - LIBERTY RIO RANCHO (FMC),322548,0,75
322549-DEL NORTE DIALYSIS,322549,0,59
322550-US RENAL CARE CLOVIS DIALYSIS,322550,0.005,49
"322551-ALBUQUERQUE WESTSIDE, LLC",322551,0,60
322552-SANDHILL DIALYSIS,322552,0,82
322553-CLOVIS HIGH PLAINS,322553,0,61
"322554- SOLID ROCK DIALYSIS, LLC",322554,0,75
322555-LOS ALAMOS DIALYSIS,322555,0,0
322556-SANDIA PEAK DIALYSIS,322556,0,83
"322557-HOME DIALYSIS OF SANTA FE,LLC",322557,0.01,43
322558-ALBUQUERQUE SOUTHWEST MESA,322558,0,0
ST. JOSEPHS HOSP. HLTH CTR-YONKERS,332303,0,66
ALBANY MEDICAL CENTER,332306,0,0
MT. SINAI KIDNEY CTR.,332307,0.015,34
FAXTON-ST. LUKES HEALTHCARE,332309,0.01,48
HUNTINGTON HOSPITAL,332310,0,90
THE NY HOSP MED CTR OF QUEENS,332311,0,0
BROOKLYN HOSPITAL CENTER,332312,0.01,40
MONTEFIORE HOSP. & MED. CTR.,332313,0.01,39
"NEW YORK & PRESBYTERIAN HOSPITALS, INC.",332321,0,0
MARY IMOGENE BASSETT HOSPITAL,332329,0.02,26
LONG ISLAND COMMUNITY HOSPITAL,332332,0.005,49
WINTHROP UNIVERSITY HOSPITAL,332336,0.005,56
LIJ MEDICAL CENTER,332341,0,0
METROPOLITAN HOSPITAL CENTER,332344,0,81
KINGSBROOK JEWISH MEDICAL CENTER,332345,0.015,29
NYC HEALTH + HOSPITALS/KINGS COUNTY,332346,0,71
ERIE COUNTY MEDICAL CENTER,332350,0.005,50
BROOKDALE HOSPITAL & MEDICAL CENTER,332352,0.02,16
HARLEM HOSPITAL,332354,0.01,39
ST. BARNABAS HOSPITAL OPD DIALYSIS CENTER,332375,0.01,46
MARJORIE BASSER DIALYSIS CENTER,332379,0.005,54
S. NASSAU COMMUNITIES HOSP.,332388,0,0
UNITY HOSPITAL OF ROCHESTER - PARK RIDGE CAMPUS,332390,0.01,47
GENEVA GENERAL HOSPITAL,332393,0,59
LINCOLN HOSPITAL,332394,0.01,48
LAKE PLAINS DIALYSIS CENTER,332401,0.005,54
ADIRONDACK MEDICAL CENTER ESRD,332404,0,72
ST. CATHERINE OF SIENA MED. CTR,332405,0.005,50
EASTERN NIAGARA HOSPITAL ESRD,332412,0.005,57
UNIVERSITY OF ROCHESTER,332415,0,0
WESTCHESTER ARTIFICIAL KIDNEY CENTER,332504,0,71
SOUTH BRONX DIALYSIS CENTER,332506,0.015,34
"ISLAND REHABILITATIVE SERVICES, INC.",332511,0.01,40
HUNTINGTON ARTIFICIAL KIDNEY CENTER,332513,0,60
"RIDGEWOOD DIALYSIS CENTER, INC.",332514,0.01,46
LIBERTY R.C.,332516,0,60
FMS-QUEENS ARTIFICIAL KIDNEY CENTER,332517,0.005,57
FMS-CENTRAL SUFFOLK  AKC,332518,0.005,55
FMS-BAYSIDE DIALYSIS CENTER,332519,0,64
ROGOSIN INSTITUTE,332520,0.01,47
FRESENIUS KIDNEY CARE - HEMPSTEAD,332521,0.01,47
ROGOSIN INSTITUTE-NEPHROLOGY FOUNDATION OF BROOKLYN SOUTH,332522,0,63
FMS-CAPITAL DISTRICT DIALYSIS CENTER,332523,0.005,55
CITY DIALYSIS CENTER,332524,0.005,57
RICHMOND KIDNEY CENTER,332525,0.005,55
LOWER MANHATTAN DIALYSIS CENTER,332528,0.005,55
"HUNTINGTON AKC FREEPORT, EXT.",332529,0.005,49
S. MANHATTAN DIALYSIS CENTER,332530,0.005,55
FMS-SOUTH QUEENS DIALYSIS CENTER,332531,0,61
DCI - RUBIN DIALYSIS CENTER - TROY,332532,0.005,50
FMS-NEPHROCARE,332534,0.01,44
ROGOSIN INSTITUTE-NEPHROLOGY FOUNDATION OF BROOKLYN EAST,332535,0,60
ITHACA DIALYSIS CLINIC,332536,0.005,53
FMS-MIDDLETOWN DIALYSIS CENTER,332538,0.005,56
SOUTHERN WESTCHESTER DIALYSIS CTR,332539,0.005,58
RIDGEWOOD DIALYSIS CENTER,332541,0.015,32
LOWER MANHATTAN DIALYSIS CENTER II,332543,0,62
FMS-ALBANY DIALYSIS CENTER,332544,0.015,37
UNIVERSITY DIALYSIS CENTER,332545,0.015,29
CATSKILL DIALYSIS CENTER,332546,0.01,43
ROGOSIN INSTITUTE-QUEENS,332547,0,62
"RENAL CARE OF BUFFALO, INC.",332548,0.005,56
FRESENIUS KIDNEY CARE - NIAGARA,332549,0,70
FMS-NEPHRO CARE WEST,332550,0.005,54
PURE LIFE RENAL OF BUFFALO INC.,332551,0,61
"TRUE NORTH DIALYSIS CENTER, LLC",332552,0.005,54
FMS-KENMORE ARTIFICIAL KIDNEY CENTER,332554,0.01,45
HUNTINGTON AKC- MEDFORD EXT.,332555,0,63
"UTICA AVENUE DIALYSIS CLINIC, INC.",332556,0.005,52
DCI - RUBIN DIALYSIS CENTERS - SARATOGA SPRINGS,332557,0.005,54
FRESENIUS KIDNEY CARE BELLMORE,332558,0,73
PORT CHESTER DIALYSIS & RENAL CTR.,332559,0.005,53
BAYRIDGE SUNSET PK DIALYSIS CTR,332560,0.01,41
COLUMBIA GREENE DIALYSIS CENTERS,332562,0.01,39
BRONX DIALYSIS CENTER,332563,0.005,52
RIVERDALE DIALYSIS CENTER,332565,0.01,46
ROGOSIN KIDNEY CENTER - BKLYN,332566,0,59
STATEN ISLAND DIALYSIS CLINIC/ AKC,332567,0.01,48
"NEWTOWN DIALYSIS CENTER, INC",332568,0.005,49
FMS-ALBANY REGIONAL KIDNEY CENTER,332569,0.01,40
"STONY BROOK KIDNEY CENTER, DCI",332570,0,59
HUDSON VALLEY DIALYSIS CENTER,332571,0.005,55
"RENAL CARE OF ROCKLAND, INC.",332572,0.01,45
PEEKSKILL-CORTLANDT DIALYSIS CTR,332574,0,76
BRONX RIVER DIALYSIS,332576,0,67
FMS-ATLANTIC PERITONEAL DIALYSIS CENTER,332579,0,91
UNIV. DIALYSIS CTR @ OSWEGO,332580,0.01,46
BROOKDALE PHYSICIANS DIALYSIS ASSOCIATES,332581,0,64
NEW YORK RENAL ASSOCIATES,332582,0.005,57
QUEENS DIALYSIS CENTER,332583,0.01,45
UNIV DIALYSIS CTR @ AUBURN,332584,0,64
"NEW YORK DIALYSIS SERVICES, INC.",332585,0,74
FMS-AMSTERDAM DIALYSIS CENTER,332586,0,59
SPRINGFIELD DIALYSIS CENTER,332587,0.005,53
BOSTON POST ROAD DIALYSIS CENTER,332588,0.005,49
KEW GARDENS DIALYSIS CENTER,332589,0.015,34
SOUNDVIEW DIALYSIS CENTER,332590,0,60
PORT WASHINGTON DIALYSIS CENTER,332591,0,75
LYNBROOK DIALYSIS CENTER,332592,0,59
UPPER EAST SIDE DIALYSIS CENTER,332593,0.01,47
FMS-ST. ALBAN'S DIALYSIS CENTER,332595,0.005,50
DYKER HEIGHTS DIALYSIS CENTER,332596,0,75
"KNICKERBOCKER DIALYSIS, INC.",332597,0.005,50
MIDWOOD DIALYSIS,332598,0.005,57
WHITE PLAINS DIALYSIS,332599,0.005,56
"KNICKERBOCKER DIALYSIS, INC.",332600,0,62
YONKERS DIALYSIS CENTER,332602,0,64
QUEENS VILLAGE DIALYSIS CENTER,332603,0,59
SHEEPSHEAD BAY RENAL CARE CENTER,332604,0,70
GARDEN CITY DIALYSIS CENTER,332605,0,67
SOUND SHORE DIALYSIS CENTER,332606,0,64
CHINATOWN DIALYSIS CENTER INC,332607,0,75
"KNICKERBOCKER DIALYSIS, INC.",332608,0,62
"WEST NASSAU DIALYSIS CTR, INC",332610,0,60
FMS-MORRIS PARK,332612,0.005,56
FMS-EASTCHESTER,332613,0.005,55
YORKTOWN AKC,332614,0,69
"KNICKERBOCKER DIALYSIS, INC.",332615,0.005,54
"DIALYSIS CLINIC INC, BRADHURST",332617,0,65
PELHAM PARKWAY DIALYSIS CENTER,332619,0.005,51
NEW HYDE PARK DIALYSIS CENTER,332620,0,60
"HAVEN DIALYSIS CENTERS, INC",332621,0.005,58
"NEW YORK AKC, INC",332622,0,67
CAROL MOLINARO DIALYSIS CENTER,332625,0.015,34
STRONG HEALTH DIALYSIS-BRIGHTON,332626,0.005,50
STRONG HEALTH DIALYSIS-CLINTON CROSSINGS,332629,0,60
FMS-LIVING CENTER,332630,0,63
FMS-FINGER LAKES,332631,0,66
DCI - RUBIN DIALYSIS CENTERS - CLIFTON PARK,332632,0.005,54
DSI DUTCHESS DIALYSIS,332633,0.01,48
WOODMERE DIALYSIS LLC,332634,0.015,29
MILLENNIUM DIALYSIS,332635,0.005,57
DCI NARROWS KIDNEY CENTER,332637,0,73
ISLAND REHABILITATIVE SERVICES-CLOVE LAKES EXTENSION,332638,0.015,31
USRC SOUTH FLUSHING,332639,0,65
BRONX RIVER NEPHRO CARE AT THE PLAZA REHAB & NURSING CENT,332640,0.02,21
COLUMBIA-GREENE DIALYSIS (CATSKILL DIVISION),332641,0.01,42
GRAND CONCOURSE DIALYSIS FACILITY,332642,0,59
FOUR SEASONS DIALYSIS CENTER LLC.,332644,0.01,44
KINGS HARBOR HEALTH SERVICES LLC,332645,0.015,32
CENTRAL BROOKLYN DIALYSIS CENTER LLC,332646,0.01,46
BROADWAY DIALYSIS CENTER AT ELMHURST HOSPITAL CENTER,332647,0.01,39
"NEWTOWN DIALYSIS CENTER, INC.",332648,0,69
CLEVE HILL DIALYSIS CENTER,332649,0.01,48
CRD ASSOCIATES LLC  CLIFFSIDE NURSING HOME,332650,0.02,26
CELIA DILL DIALYSIS CENTER,332651,0,65
ASTORIA DIALYSIS CENTER,332652,0.01,43
"RENAL CARE OF NORTHERN NEW YORK, LLC",332653,0.005,51
"VESTAL HEALTHCARE, LLC",332654,0,59
HAUPPAUGE DIALYSIS CENTER,332655,0.015,35
EASTCHESTER ROAD DIALYSIS CENTER,332656,0,60
CARILLON DIALYSIS LLC,332657,0.005,54
EAST END DIALYSIS MANAGEMENT LLC,332658,0.01,45
"QUEENS DIALYSIS AT THE PAVILION, LLC",332659,0.01,44
"LIVERPOOL DIALYSIS CENTER, LLC",332660,0,61
"MOUNT VERNON DIALYSIS,LLC",332661,0.02,15
BEDFORD PARK DIALYSIS CENTER,332662,0,65
ISLAND REHABILITATIVE SERVICES - COMMACK,332663,0.005,51
ST. JOSEPH'S - REGIONAL,332664,0.01,47
ST. JOSEPH'S DIALYSIS - SENECA,332665,0,62
ST. JOSEPH'S - CAMILLUS,332666,0,65
ST. JOSEPH'S - NORTHEAST,332667,0,66
ST. JOSEPH'S - CORTLAND,332668,0,68
YONKERS EAST DIALYSIS CENTER,332669,0,70
"LONG ISLAND RENAL CARE, INC.",332670,0.005,55
KNICKERBOCKER DIALYSIS INC,332671,0.015,30
FMS-MONROE COMMUNITY DIALYSIS,332672,0,63
QUEENS-LONG ISLAND RENAL INSTITUTE,332673,0,65
LIBERTY HUDSON VALLEY DIALYSIS,332674,0.015,38
UHS DIALYSIS - PARK AVENUE,332675,0.005,57
UHS DIALYSIS - PENNSYLVANIA AVENUE,332676,0.005,53
BRONX CENTER FOR RENAL DIALYSIS,332677,0.005,50
"KNICKERBOCKER DIALYSIS, INC.",332678,0.005,57
SOUTHTOWNS DIALYSIS CENTER,332679,0,63
THE ROGOSIN INSTITUTE AUBURNDALE DIALYSIS,332680,0,72
FRESENIUS KIDNEY CARE - WHEATFIELD,332681,0,66
NIAGARA FALLS KIDNEY CARE CENTER,332682,0.01,44
"RIVER RENAL SERVICES, LLC",332683,0.01,48
"DIALYSIS CLINIC, INC.",332684,0,62
US RENAL CARE TONAWANDA DIALYSIS,332685,0,64
US RENAL CARE CHEEKTOWAGA DIALYSIS,332686,0.01,48
US RENAL CARE WILLIAMSVILLE DIALYSIS,332687,0.005,57
FISHKILL DIALYSIS CENTER,332688,0.005,52
BRIDGEWATER CENTER FOR DIALYSIS,332690,0.005,58
"RENAL CARE OF ROCKLAND, INC.",332691,0.01,40
BROOKLYN DIALYSIS CENTER LLC,332692,0.01,44
"MOHAWK VALLEY DIALYSIS CENTER, INC.",332693,0.005,57
ROCKAWAY HD LLC,332694,0.02,21
WORKMEN'S CIRCLE DIALYSIS CENTER,332695,0.015,38
FRIEDWALD CENTER FOR DIALYSIS,332696,0.005,52
FRESENIUS KIDNEY CARE - NEWARK,332697,0,79
FMS-SOUTHERN MANHATTAN DIALYSIS CENTER (MONROE COUNTY),332698,0.005,55
AVANTUS UPPER MANHATTAN DIALYSIS CENTER,332699,0.005,51
FMS-NISKAYUNA DIALYSIS CENTER,332700,0.01,47
NEWARK WAYNE DIALYSIS CENTER,332701,0,64
H.K. FREEDMAN RENAL CENTER,332702,0.005,51
JAMESTOWN DIALYSIS CENTER,332703,0,79
AVANTUS IRVING PLACE DIALYSIS CENTER,332704,0.005,49
AVANTUS UPPER EASTSIDE DIALYSIS,332705,0.01,41
AVANTUS HARLEM GREEN DIALYSIS,332706,0,67
ORANGE DIALYSIS CENTER,332707,0,76
WATERS PLACE DIALYSIS CENTER,332708,0.005,53
LOWVILLE DIALYSIS CENTER,332709,0,74
"ELIZABETHTOWN CENTER, LLC",332710,0,69
"KNICKERBOCKER DIALYSIS, INC",332711,0,63
"BUSHWICK CENTER FOR RENAL DIALYSIS, LLC",332712,0.005,49
FMS-FREEDOM CENTER OF BUFFALO,332713,0.02,25
ROGOSIN WEST SIDE,332714,0,69
HASTINGS HEMODIALYSIS CENTER,332715,0,82
PROSPECT PARK DIALYSIS,332716,0.01,39
MASSENA DIALYSIS CENTER,332717,0,73
WESTCHESTER CENTER FOR RENAL CARE,332718,0.02,22
FRESENIUS KIDNEY CARE - SARATOGA SPRINGS,332719,0,77
NIAGARA DIALYSIS CENTER,332720,0,69
LONG ISLAND BAY SHORE DIALYSIS CENTER,332721,0.01,48
FREEDOM CENTER OF ROCHESTER,332723,0,65
CORAM DIALYSIS CENTER,332724,0.005,57
FMS - GREECE DIALYSIS CENTER,332725,0.01,43
REGENCY DIALYSIS CENTER,332726,0.005,57
PARK AVENUE DIALYSIS CENTER LLC,332727,0.005,57
"KNICKERBOCKER DIALYSIS, INC",332728,0.005,52
"KNICKERBOCKER DIALYSIS, INC",332729,0.005,58
"KNICKERBOCKER DIALYSIS, INC.",332730,0,83
"MILLS POND DIALYSIS CENTER, LLC",332731,0.01,39
"KNICKERBOCKER DIALYSIS, INC",332732,0,63
SCHUYLER DIALYSIS,332733,0,72
GENESIS SERVICES,332734,0.01,39
IVY DIALYSIS,332735,0.005,50
FREEDOM CENTER OF WESTMERE,332736,0.005,50
PREMIER DIALYSIS CENTER,332737,0.005,52
NEW YORK DIALYSIS SERVICES INC.,332738,0.005,51
PALM GARDEN DIALYSIS CENTER,332739,0.02,28
SCHENECTADY PARTNERS LLC,332740,0,68
DCI-EAST GREENBUSH,332741,0,61
PENINSULA CONTINUUM SERVICES LLC,332742,0.01,39
VESTAL HEALTHCARE LLC,332743,0,78
GLOVERSVILLE DIALYSIS CENTER,332744,0.005,49
NEW YORK DIALYSIS SERVICES INC.,332745,0.01,45
"VESTAL HEALTHCARE, LLC",332746,0,83
US RENAL CARE WEST CHEEKTOWAGA,332747,0.005,58
"NEW YORK DIALYSIS SERVICES, INC.",332748,0,60
KNICKERBOCKER DIALYSIS INC.,332749,0.01,41
